path	sentence	client_id	translation	split
common_voice_en_19206517.mp3	They are apparently producing a drama, according to their official blog.	7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f	공식 블로그에 따르면 드라마를 제작 중이라고 합니다.	train
common_voice_en_19206518.mp3	Again, the result was the same-negative.	7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f	이번에도 결과는 동일하게 음성이었습니다.	train
common_voice_en_19206519.mp3	Similar legislation in Australia has been criticized by veterinary professionals.	7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f	호주에서도 이와 유사한 법안이 수의학 전문가들로부터 비판을 받고 있습니다.	train
common_voice_en_19206520.mp3	They vary from single-celled flagellates to simple colonial and filamentous forms.	7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f	단세포 편모충부터 단순한 군집 및 필라멘트 형태까지 다양합니다.	train
common_voice_en_19206527.mp3	The old village lies within Albury Park, described in History.	7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f	오래된 마을은 역사에 묘사된 알버리 공원 내에 있습니다.	train
common_voice_en_19206531.mp3	I was never made to feel that it was anything strange.	7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f	이상하다고 느낀 적은 한 번도 없었습니다.	train
common_voice_en_19206532.mp3	"It was released on his album ""Bede Weeps""."	7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f	이 곡은 그의 앨범 '베데 윕스'에 수록되었습니다.	train
common_voice_en_19206533.mp3	The players swap roles after four wheels have been struck by the first player.	7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f	플레이어는 첫 번째 플레이어가 네 바퀴를 치고 나면 역할을 바꿉니다.	train
common_voice_en_19206534.mp3	The original French version of the book was designed by Robert Massin.	7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f	이 책의 프랑스어 원서는 로버트 마신이 디자인했습니다.	train
common_voice_en_19206535.mp3	At one of their shows they prepared sandwiches onstage for the audience to eat.	7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f	한 공연에서는 관객이 먹을 수 있도록 무대에서 샌드위치를 준비했습니다.	train
